Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
150,Sunday Sep 15,boxscore,ARI,,CIN,L,1,3,,76-74,2,20.5,Bauer,Gallen,Iglesias,2:55,D,25193,.20,-,
151,Monday Sep 16,boxscore,ARI,,MIA,W,7,5,,77-74,2,20.0,Hirano,Guerrero,Ginkel,3:25,N,15897,.07,+,
152,Tuesday Sep 17,boxscore,ARI,,MIA,L,6,12,,77-75,2,21.0,Smith,Andriese,,3:49,N,19745,.08,-,
153,Wednesday Sep 18,boxscore,ARI,,MIA,W,5,4,,78-75,2,20.0,Leake,Alcantara,Bradley,2:55,D,17731,.02,+,
154,Friday Sep 20,boxscore,ARI,@,SDP,W,9,0,,79-75,2,20.0,Kelly,Lauer,,3:11,N,27023,.05,++,
155,Saturday Sep 21,boxscore,ARI,@,SDP,W,4,2,,80-75,2,19.0,Clarke,Strahm,Bradley,3:12,N,30191,.06,+++,
156,Sunday Sep 22,boxscore,ARI,@,SDP,L-wo,4,6,10,80-76,2,20.0,Strahm,López,,3:42,D,31293,.06,-,
157,Monday Sep 23,boxscore,ARI,,STL,L,7,9,,80-77,2,20.5,Wainwright,Young,Martinez,3:29,N,24826,.01,--,
158,Tuesday Sep 24,boxscore,ARI,,STL,W-wo,3,2,19,81-77,2,20.5,Ginkel,Brebbia,,6:53,N,26097,.00,+,
159,Wednesday Sep 25,boxscore,ARI,,STL,W,9,7,,82-77,2,20.5,Kelly,Fernández,Bradley,3:52,D,21420,.00,++,
160,Friday Sep 27,boxscore,ARI,,SDP,W,6,3,,83-77,2,21.0,Scott,Perdomo,Bradley,3:03,N,32244,.00,+++,
161,Saturday Sep 28,boxscore,ARI,,SDP,W,6,5,,84-77,2,21.0,Sherfy,Bednar,Ginkel,3:05,N,46477,.00,++++,
162,Sunday Sep 29,boxscore,ARI,,SDP,W-wo,1,0,,85-77,2,21.0,Crichton,Strahm,,2:46,D,45446,.00,+++++,
