Rk,Team,Date,,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
52,ARI,2021-05-28,,STL,L 6-8,46,37,6,11,7,3,1,0,6,0,0,7,12,.297,.413,.432,.845,16,1,1,0,1,0
53,ARI,2021-05-29,,STL,L 4-7,41,35,4,8,4,3,0,1,4,0,0,6,11,.229,.341,.400,.741,14,0,0,0,0,0
54,ARI,2021-05-30,,STL,W 9-2,42,37,9,13,10,1,1,1,9,0,0,5,1,.351,.429,.514,.942,19,2,0,0,0,1
55,ARI,2021-05-31,,NYM,L 2-6,35,35,2,8,6,1,0,1,2,0,0,0,11,.229,.229,.343,.571,12,0,0,0,0,0
56,ARI,2021-06-01,,NYM,W 6-5 (10),42,40,6,11,8,2,0,1,6,0,0,2,9,.275,.310,.400,.710,16,0,0,0,0,0
57,ARI,2021-06-02,,NYM,L 6-7,36,32,6,8,6,1,0,1,6,0,0,4,4,.250,.333,.375,.708,12,1,0,0,0,0
58,ARI,2021-06-03,@,MIL,L 4-7,45,40,4,13,8,4,0,1,4,0,0,4,11,.325,.400,.500,.900,20,0,1,0,0,0
59,ARI,2021-06-04,@,MIL,L 1-5,31,27,1,1,1,0,0,0,1,1,0,3,10,.037,.129,.037,.166,1,0,0,0,1,0
60,ARI,2021-06-05,@,MIL,L 5-7,39,36,5,10,5,2,0,3,5,0,1,3,14,.278,.333,.583,.917,21,0,0,0,0,0
61,ARI,2021-06-06,@,MIL,L 0-2,33,33,0,6,5,1,0,0,0,0,0,0,16,.182,.182,.212,.394,7,0,0,0,0,0
62,ARI,2021-06-08,@,OAK,L 2-5,33,31,2,5,4,0,0,1,2,0,0,1,6,.161,.182,.258,.440,8,0,0,0,1,0
63,ARI,2021-06-09,@,OAK,L 0-4,34,30,0,2,2,0,0,0,0,0,0,4,5,.067,.176,.067,.243,2,0,0,0,0,0
64,ARI,2021-06-11,,LAA,L 5-6 (10),45,41,5,10,5,4,0,1,2,0,0,3,15,.244,.311,.415,.726,17,1,1,0,0,0
65,ARI,2021-06-12,,LAA,L 7-8,38,36,7,10,6,2,0,2,7,0,0,1,7,.278,.297,.500,.797,18,0,0,1,0,0
66,ARI,2021-06-13,,LAA,L 3-10,38,34,3,8,8,0,0,0,3,0,0,4,5,.235,.316,.235,.551,8,1,0,0,0,0
67,ARI,2021-06-14,@,SFG,L 2-5,36,32,2,6,4,1,0,1,2,0,0,2,8,.188,.257,.313,.570,10,1,1,0,0,0
68,ARI,2021-06-15,@,SFG,L 8-9,41,38,8,12,7,5,0,0,8,0,0,3,7,.316,.366,.447,.813,17,1,0,0,0,0
69,ARI,2021-06-16,@,SFG,L 7-13,41,39,7,10,6,3,0,1,6,0,0,2,7,.256,.293,.410,.703,16,0,0,0,0,0
70,ARI,2021-06-17,@,SFG,L 3-10,33,32,3,5,3,1,1,0,3,0,0,1,6,.156,.182,.250,.432,8,1,0,0,0,0
71,ARI,2021-06-18,,LAD,L 0-3,33,30,0,3,2,1,0,0,0,1,0,3,9,.100,.182,.133,.315,4,0,0,0,0,0
72,ARI,2021-06-19,,LAD,L 3-9,34,30,3,4,3,1,0,0,3,1,0,3,14,.133,.235,.167,.402,5,1,1,0,0,0
73,ARI,2021-06-20,,LAD,L 8-9,42,39,8,12,10,2,0,0,8,0,0,3,8,.308,.357,.359,.716,14,0,0,0,0,0
74,ARI,2021-06-21,,MIL,W 5-1,38,30,5,9,8,1,0,0,5,0,1,6,11,.300,.432,.333,.766,10,0,1,1,0,0
75,ARI,2021-06-22,,MIL,L 0-5,34,29,0,2,1,1,0,0,0,1,0,5,12,.069,.206,.103,.309,3,0,0,0,0,0
76,ARI,2021-06-23,,MIL,L 2-3,34,31,2,5,3,0,0,2,2,0,1,3,12,.161,.235,.355,.590,11,0,0,0,0,0
77,ARI,2021-06-25,@,SDP,L 5-11,45,39,5,13,10,3,0,0,5,0,0,5,8,.333,.409,.410,.819,16,0,0,1,0,0
78,ARI,2021-06-26,@,SDP,W 10-1,44,40,10,16,11,3,0,2,10,0,1,3,4,.400,.442,.625,1.067,25,1,0,1,0,0
79,ARI,2021-06-27,@,SDP,L 4-5,37,34,4,8,5,3,0,0,2,0,0,2,10,.235,.270,.324,.594,11,1,0,0,1,0
80,ARI,2021-06-28,@,STL,L 1-7,38,34,1,7,3,2,1,1,1,0,0,3,6,.206,.289,.412,.701,14,0,1,0,0,1
81,ARI,2021-06-29,@,STL,L 2-3,37,31,2,6,4,2,0,0,2,0,0,5,10,.194,.306,.258,.564,8,1,0,1,0,0
82,ARI,2021-06-30,@,STL,L 4-7,41,33,4,6,5,1,0,0,3,0,0,7,6,.182,.341,.212,.554,7,0,1,0,0,0
83,ARI,2021-07-01,,SFG,W 5-3,34,31,5,8,3,2,1,2,5,1,0,3,9,.258,.324,.581,.904,18,1,0,0,0,1
84,ARI,2021-07-02,,SFG,L 4-11,37,33,4,7,5,0,0,2,4,0,0,3,12,.212,.297,.394,.691,13,1,1,0,0,0
85,ARI,2021-07-03,,SFG,L 5-6,41,38,5,10,7,2,0,1,5,1,0,2,13,.263,.300,.395,.695,15,0,0,0,0,0
86,ARI,2021-07-04,,SFG,L 2-5,33,30,2,6,5,1,0,0,2,0,0,3,7,.200,.273,.233,.506,7,2,0,0,0,0
87,ARI,2021-07-06,,COL,W 4-3,38,32,4,7,3,4,0,0,4,0,0,5,9,.219,.342,.344,.686,11,0,1,0,0,0
88,ARI,2021-07-07,,COL,W 6-4,35,32,6,9,7,1,0,1,6,0,0,2,6,.281,.314,.406,.721,13,0,0,0,1,0
89,ARI,2021-07-08,,COL,L 3-9,37,34,3,7,5,1,0,1,2,0,0,3,8,.206,.270,.324,.594,11,1,0,0,0,0
90,ARI,2021-07-09,@,LAD,W 5-2,46,36,5,8,5,2,0,1,5,2,0,7,11,.222,.378,.361,.739,13,0,2,1,0,0
91,ARI,2021-07-10,@,LAD,L 1-22,33,31,1,4,2,1,0,1,1,0,0,2,11,.129,.182,.258,.440,8,0,0,0,0,0
92,ARI,2021-07-11,@,LAD,L 4-7,38,36,4,10,6,2,0,2,4,0,1,2,9,.278,.316,.500,.816,18,0,0,0,0,1
93,ARI,2021-07-16,,CHC,L 1-5,36,31,1,7,4,3,0,0,1,0,0,3,10,.226,.314,.323,.637,10,1,1,1,0,0
94,ARI,2021-07-17,,CHC,L 2-4,35,31,2,5,5,0,0,0,2,1,0,4,9,.161,.257,.161,.418,5,1,0,0,0,0
95,ARI,2021-07-18,,CHC,W 6-4,41,28,6,8,4,3,0,1,5,2,0,11,4,.286,.500,.500,1.000,14,2,1,1,0,2
96,ARI,2021-07-19,,PIT,W 4-2,36,33,4,10,3,2,2,3,4,1,0,2,7,.303,.361,.758,1.119,25,1,1,0,0,0
97,ARI,2021-07-20,,PIT,W 11-6,41,36,11,13,9,3,1,0,11,0,0,5,10,.361,.439,.500,.939,18,1,0,0,0,0
98,ARI,2021-07-21,,PIT,W 6-4,39,34,6,12,5,5,0,2,6,2,1,4,10,.353,.436,.676,1.112,23,1,1,0,0,0
99,ARI,2021-07-23,@,CHC,L 3-8,39,36,3,9,6,2,0,1,3,0,0,3,12,.250,.308,.389,.697,14,0,0,0,0,0
100,ARI,2021-07-24,@,CHC,W 7-3,40,35,7,9,3,4,0,2,7,0,0,5,4,.257,.350,.543,.893,19,1,0,0,0,0
101,ARI,2021-07-25,@,CHC,L 1-5,38,34,1,7,5,2,0,0,1,0,0,4,8,.206,.289,.265,.554,9,0,0,0,0,0
102,ARI,2021-07-27,@,TEX,L 4-5,35,30,4,8,6,2,0,0,4,0,0,4,7,.267,.343,.333,.676,10,1,0,0,1,0
103,ARI,2021-07-28,@,TEX,W 3-2,32,29,3,3,0,1,0,2,3,1,0,2,9,.103,.156,.345,.501,10,0,0,0,1,0
104,ARI,2021-07-30,,LAD,W 6-5 (10),47,37,6,10,5,5,0,0,6,1,0,9,8,.270,.404,.405,.810,15,0,0,0,1,0
105,ARI,2021-07-31,,LAD,L 3-8,32,29,3,5,2,1,0,2,3,0,0,2,10,.172,.226,.414,.640,12,2,0,1,0,0
106,ARI,2021-08-01,,LAD,L 0-13,31,30,0,4,4,0,0,0,0,0,0,1,12,.133,.161,.133,.295,4,1,0,0,0,0
107,ARI,2021-08-02,,SFG,L 8-11 (10),44,42,8,12,9,1,0,2,7,1,0,2,7,.286,.318,.452,.771,19,0,0,0,0,0
108,ARI,2021-08-03,,SFG,W 3-1,39,30,3,7,3,4,0,0,3,0,0,8,8,.233,.395,.367,.761,11,0,0,1,0,0
109,ARI,2021-08-04,,SFG,L 1-7,34,32,1,6,5,1,0,0,1,0,0,1,12,.188,.212,.219,.431,7,0,0,1,0,0
